model_id,model_params_est,dtype,quantization_mode,batch_size,context_len,prompt_id,run_id,input_tokens,output_tokens,elapsed_s,tokens_per_s,avg_watts,joules_total,joules_per_token,gpu_name,driver_version,torch_version,transformers_version,error
EleutherAI/pythia-6.9b,6857302016,float16,none,1,256,1,1,77,128,2.8637,44.7,170.66,471.0044,3.679722,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,1,256,1,2,77,128,2.86,44.76,170.62,471.2719,3.681812,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,1,256,1,3,77,128,2.8569,44.8,172.42,475.9028,3.717991,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,1,256,1,4,77,128,2.8592,44.77,168.83,465.9825,3.640488,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,1,256,1,5,77,128,2.8809,44.43,175.17,498.6759,3.895905,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,2,256,"1,2",6,158,256,2.8617,89.46,180.72,495.1334,1.934115,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,2,256,"1,2",7,158,256,2.8613,89.47,173.65,478.8252,1.870411,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,2,256,"1,2",8,158,256,2.8664,89.31,181.39,501.7019,1.959773,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,2,256,"1,2",9,158,256,2.8605,89.5,177.86,490.8184,1.917259,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,2,256,"1,2",10,158,256,2.8665,89.31,180.88,499.6552,1.951778,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,4,256,"1,2,3,4",11,303,512,2.9014,176.47,193.01,553.6594,1.081366,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,4,256,"1,2,3,4",12,303,512,2.9029,176.38,196.34,562.4101,1.098457,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,4,256,"1,2,3,4",13,303,512,2.906,176.18,195.26,559.0039,1.091804,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,4,256,"1,2,3,4",14,303,512,2.9081,176.06,193.46,553.3433,1.080749,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,4,256,"1,2,3,4",15,303,512,2.9061,176.18,195.37,560.6198,1.09496,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,8,256,"1,2,3,4,5,6,7,8",16,593,1024,2.9794,343.69,225.88,647.5075,0.632332,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,8,256,"1,2,3,4,5,6,7,8",17,593,1024,3.0013,341.19,231.16,678.6854,0.662779,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,8,256,"1,2,3,4,5,6,7,8",18,593,1024,2.9772,343.95,231.87,664.8389,0.649257,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,8,256,"1,2,3,4,5,6,7,8",19,593,1024,2.9781,343.85,227.13,651.2423,0.635979,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,8,256,"1,2,3,4,5,6,7,8",20,593,1024,2.9775,343.91,232.51,665.1134,0.649525,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,16,256,"1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6",21,1204,2048,3.7754,542.46,254.33,939.5664,0.458773,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,16,256,"1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6",22,1204,2048,3.7661,543.79,253.12,933.9525,0.456032,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,16,256,"1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6",23,1204,2048,3.7845,541.16,257.15,956.1536,0.466872,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-6.9b,6857302016,float16,none,16,256,"1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6",24,1204,2048,3.7679,543.54,253.8,936.6736,0.45736,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
