model_id,model_params_est,dtype,quantization_mode,batch_size,context_len,prompt_id,run_id,input_tokens,output_tokens,elapsed_s,tokens_per_s,avg_watts,joules_total,joules_per_token,gpu_name,driver_version,torch_version,transformers_version,error
mistralai/Mistral-7B-v0.1,7241732096,float16,none,1,256,1,1,89,128,4.23,30.26,143.52,601.8545,4.701988,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,1,256,1,2,89,128,4.212,30.39,145.05,608.4078,4.753186,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,1,256,1,3,89,128,4.21,30.4,143.48,587.1662,4.587236,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,1,256,1,4,89,128,4.2279,30.28,141.61,593.891,4.639774,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,1,256,1,5,89,128,4.2071,30.42,142.72,584.5164,4.566534,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,2,256,"1,2",6,174,256,4.2751,59.88,143.96,604.2014,2.360162,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,2,256,"1,2",7,174,256,4.2863,59.73,143.24,599.3723,2.341298,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,2,256,"1,2",8,174,256,4.2784,59.83,146.91,617.2153,2.410997,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,2,256,"1,2",9,174,256,4.2834,59.77,142.34,597.0662,2.33229,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,2,256,"1,2",10,174,256,4.3004,59.53,145.77,620.9914,2.425747,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,4,256,"1,2,3,4",11,337,512,4.3093,118.81,151.84,637.0383,1.244215,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,4,256,"1,2,3,4",12,337,512,4.3176,118.59,150.62,648.3307,1.266271,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,4,256,"1,2,3,4",13,337,512,4.3237,118.42,151.86,648.0063,1.265637,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,4,256,"1,2,3,4",14,337,512,4.3203,118.51,151.78,646.9823,1.263637,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,4,256,"1,2,3,4",15,337,512,4.334,118.13,148.96,645.3039,1.260359,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,8,256,"1,2,3,4,5,6,7,8",16,686,1024,4.3989,232.79,172.02,738.7484,0.721434,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,8,256,"1,2,3,4,5,6,7,8",17,686,1024,4.3994,232.76,177.14,762.718,0.744842,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,8,256,"1,2,3,4,5,6,7,8",18,686,1024,4.4034,232.55,172.96,744.0172,0.726579,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,8,256,"1,2,3,4,5,6,7,8",19,686,1024,4.4316,231.07,173.46,756.1899,0.738467,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,8,256,"1,2,3,4,5,6,7,8",20,686,1024,4.407,232.36,170.41,732.9333,0.715755,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,16,256,"1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6",21,1372,2048,4.5469,450.42,215.82,970.3757,0.473816,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,16,256,"1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6",22,1372,2048,4.5527,449.84,218.57,984.1397,0.480537,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,16,256,"1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6",23,1372,2048,4.5738,447.77,217.44,985.5066,0.481204,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,16,256,"1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6",24,1372,2048,4.5495,450.16,217.31,979.0028,0.478029,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,16,256,"1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6",25,1372,2048,4.5565,449.47,219.77,988.8666,0.482845,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,32,256,"1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2",26,2751,4096,5.5012,744.57,267.19,1458.6687,0.35612,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,32,256,"1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2",27,2751,4096,5.5063,743.88,264.54,1440.3531,0.351649,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,32,256,"1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2",28,2751,4096,5.487,746.49,267.37,1450.374,0.354095,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,32,256,"1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2",29,2751,4096,5.496,745.27,266.91,1446.5867,0.353171,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,32,256,"1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2",30,2751,4096,5.4941,745.53,264.39,1440.7193,0.351738,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
