model_id,model_params_est,dtype,quantization_mode,batch_size,context_len,prompt_id,run_id,input_tokens,output_tokens,elapsed_s,tokens_per_s,avg_watts,joules_total,joules_per_token,gpu_name,driver_version,torch_version,transformers_version,error
EleutherAI/pythia-70m,70426624,float16,none,1,256,1,1,77,128,0.6929,184.74,74.56,45.8722,0.358376,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,1,256,1,2,77,128,0.6847,186.94,74.31,45.6618,0.356733,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,1,256,1,3,77,128,0.687,186.32,74.09,45.3708,0.35446,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,1,256,1,4,77,128,0.6886,185.89,74.33,45.9896,0.359294,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,1,256,1,5,77,128,0.6897,185.59,74.18,45.6444,0.356597,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,2,256,"1,2",6,158,256,0.6914,370.25,74.09,45.536,0.177875,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,2,256,"1,2",7,158,256,0.6983,366.6,73.83,45.4779,0.177648,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,2,256,"1,2",8,158,256,0.6944,368.68,73.83,45.2372,0.176708,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,2,256,"1,2",9,158,256,0.6913,370.3,73.9,45.2883,0.176907,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,2,256,"1,2",10,158,256,0.6973,367.11,73.73,45.3336,0.177084,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,4,256,"1,2,3,4",11,303,512,0.6979,733.65,74.67,46.0718,0.089984,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,4,256,"1,2,3,4",12,303,512,0.6942,737.58,74.46,45.6221,0.089106,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,4,256,"1,2,3,4",13,303,512,0.6916,740.32,74.58,45.6962,0.08925,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,4,256,"1,2,3,4",14,303,512,0.6948,736.94,74.8,46.1316,0.090101,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,4,256,"1,2,3,4",15,303,512,0.6925,739.32,75.17,46.0224,0.089887,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,8,256,"1,2,3,4,5,6,7,8",16,593,1024,0.7119,1438.38,77.94,55.0743,0.053783,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,8,256,"1,2,3,4,5,6,7,8",17,593,1024,0.6922,1479.29,76.33,47.2091,0.046103,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,8,256,"1,2,3,4,5,6,7,8",18,593,1024,0.6878,1488.71,78.39,47.6331,0.046517,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,8,256,"1,2,3,4,5,6,7,8",19,593,1024,0.6868,1490.88,76.78,47.1891,0.046083,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,8,256,"1,2,3,4,5,6,7,8",20,593,1024,0.686,1492.72,76.04,46.6148,0.045522,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,1,2048,1,21,77,128,0.6897,185.59,76.05,46.6146,0.364176,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,1,2048,1,22,77,128,0.687,186.31,76.17,46.7176,0.364981,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,1,2048,1,23,77,128,0.6857,186.68,76.06,46.7341,0.36511,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,1,2048,1,24,77,128,0.6878,186.1,75.9,46.5598,0.363748,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,1,2048,1,25,77,128,0.6959,183.92,76.2,46.8877,0.36631,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,2,2048,"1,2",26,158,256,0.6909,370.55,79.37,48.6398,0.189999,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
EleutherAI/pythia-70m,70426624,float16,none,2,2048,"1,2",27,158,256,0.6935,369.13,79.48,48.8988,0.191011,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
