model_id,model_params_est,dtype,quantization_mode,batch_size,context_len,prompt_id,run_id,input_tokens,output_tokens,elapsed_s,tokens_per_s,avg_watts,joules_total,joules_per_token,gpu_name,driver_version,torch_version,transformers_version,error
mistralai/Mistral-7B-v0.1,7241732096,float16,none,1,256,1,1,89,128,4.189,30.56,136.25,557.696,4.357,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,1,256,1,2,89,128,4.1842,30.59,135.06,552.2757,4.314654,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,1,256,1,3,89,128,4.2031,30.45,137.06,566.9354,4.429183,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,1,256,1,4,89,128,4.19,30.55,136.72,559.8025,4.373457,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,1,256,1,5,89,128,4.187,30.57,136.11,556.6733,4.34901,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,4,256,"1,2,3,4",6,337,512,4.2918,119.3,147.66,619.5058,1.209972,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,4,256,"1,2,3,4",7,337,512,4.3168,118.61,148.39,627.7142,1.226004,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,4,256,"1,2,3,4",8,337,512,4.2915,119.31,149.14,626.3866,1.223411,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,4,256,"1,2,3,4",9,337,512,4.2875,119.42,148.78,623.6549,1.218076,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,4,256,"1,2,3,4",10,337,512,4.2962,119.18,147.68,619.2053,1.209385,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,8,256,"1,2,3,4,5,6,7,8",11,686,1024,4.3881,233.36,167.79,727.3981,0.71035,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,8,256,"1,2,3,4,5,6,7,8",12,686,1024,4.3797,233.81,169.57,730.6359,0.713512,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,8,256,"1,2,3,4,5,6,7,8",13,686,1024,4.3772,233.94,171.85,739.4101,0.72208,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,8,256,"1,2,3,4,5,6,7,8",14,686,1024,4.3788,233.85,171.77,734.8981,0.717674,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,8,256,"1,2,3,4,5,6,7,8",15,686,1024,4.3733,234.15,173.43,745.2611,0.727794,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,1,2048,1,16,89,128,4.3362,29.52,164.7,708.1695,5.532575,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,1,2048,1,17,89,128,4.3394,29.5,165.54,711.984,5.562375,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,1,2048,1,18,89,128,4.3356,29.52,165.11,709.9597,5.54656,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,1,2048,1,19,89,128,4.3363,29.52,165.42,707.2159,5.525124,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,1,2048,1,20,89,128,4.341,29.49,164.11,705.9805,5.515473,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,4,2048,"1,2,3,4",21,337,512,5.1983,98.49,242.31,1241.5621,2.424926,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,4,2048,"1,2,3,4",22,337,512,5.2019,98.43,242.79,1244.289,2.430252,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,4,2048,"1,2,3,4",23,337,512,5.2068,98.33,243.03,1244.9601,2.431563,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,4,2048,"1,2,3,4",24,337,512,5.2003,98.46,244.67,1252.0205,2.445353,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,4,2048,"1,2,3,4",25,337,512,5.2201,98.08,245.3,1256.8534,2.454792,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,8,2048,"1,2,3,4,5,6,7,8",26,686,1024,7.921,129.28,271.49,2128.9037,2.079008,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,8,2048,"1,2,3,4,5,6,7,8",27,686,1024,7.9098,129.46,270.34,2131.9272,2.08196,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,8,2048,"1,2,3,4,5,6,7,8",28,686,1024,7.9089,129.47,266.68,2102.4022,2.053127,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,8,2048,"1,2,3,4,5,6,7,8",29,686,1024,7.8991,129.64,268.1,2114.4442,2.064887,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,none,8,2048,"1,2,3,4,5,6,7,8",30,686,1024,7.8789,129.97,268.55,2115.7973,2.066208,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
