model_id,model_params_est,dtype,quantization_mode,batch_size,context_len,prompt_id,run_id,input_tokens,output_tokens,elapsed_s,tokens_per_s,avg_watts,joules_total,joules_per_token,gpu_name,driver_version,torch_version,transformers_version,error
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,1,256,1,1,89,128,17.3718,7.37,86.21,1491.63,11.653359,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,1,256,1,2,89,128,17.3829,7.36,85.91,1486.0313,11.609619,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,1,256,1,3,89,128,17.4028,7.36,85.34,1482.2246,11.57988,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,1,256,1,4,89,128,17.382,7.36,85.23,1474.0232,11.515807,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,1,256,1,5,89,128,17.4133,7.35,84.74,1472.8745,11.506832,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,4,256,"1,2,3,4",6,337,512,19.2401,26.61,95.0,1825.9235,3.566257,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,4,256,"1,2,3,4",7,337,512,19.2152,26.65,95.04,1819.3996,3.553515,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,4,256,"1,2,3,4",8,337,512,19.2364,26.62,94.51,1808.1047,3.531454,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,4,256,"1,2,3,4",9,337,512,19.2165,26.64,95.07,1819.9737,3.554636,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,4,256,"1,2,3,4",10,337,512,19.2238,26.63,95.12,1824.0582,3.562614,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,8,256,"1,2,3,4,5,6,7,8",11,686,1024,19.7268,51.91,107.25,2103.5146,2.054213,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,8,256,"1,2,3,4,5,6,7,8",12,686,1024,19.7367,51.88,108.38,2130.8021,2.080861,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,8,256,"1,2,3,4,5,6,7,8",13,686,1024,19.763,51.81,107.06,2108.6161,2.059195,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,8,256,"1,2,3,4,5,6,7,8",14,686,1024,19.7301,51.9,107.88,2114.4316,2.064875,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,8,256,"1,2,3,4,5,6,7,8",15,686,1024,19.7077,51.96,108.07,2123.9832,2.074202,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,1,2048,1,16,89,128,17.5828,7.28,93.83,1638.885,12.803789,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,1,2048,1,17,89,128,17.537,7.3,93.24,1632.0997,12.750779,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,1,2048,1,18,89,128,17.562,7.29,92.61,1617.1354,12.633871,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,1,2048,1,19,89,128,17.5339,7.3,93.03,1628.4011,12.721883,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,1,2048,1,20,89,128,17.5736,7.28,92.59,1619.8551,12.655118,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,4,2048,"1,2,3,4",21,337,512,21.0949,24.27,122.94,2590.8225,5.0602,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,7241732096,float16,int8,4,2048,"1,2,3,4",22,337,512,21.0493,24.32,122.27,2565.0133,5.009792,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
