model_id,model_params_est,dtype,quantization_mode,batch_size,context_len,prompt_id,run_id,input_tokens,output_tokens,elapsed_s,tokens_per_s,avg_watts,joules_total,joules_per_token,gpu_name,driver_version,torch_version,transformers_version,error
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,1,256,1,1,89,128,8.3549,15.32,95.67,793.5022,6.199236,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,1,256,1,2,89,128,8.3507,15.33,95.52,792.2657,6.189576,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,1,256,1,3,89,128,8.3626,15.31,95.52,792.4782,6.191236,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,1,256,1,4,89,128,8.355,15.32,95.95,789.5764,6.168565,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,1,256,1,5,89,128,8.3464,15.34,95.28,790.4565,6.175442,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,4,256,"1,2,3,4",6,337,512,10.5255,48.64,239.39,2501.6916,4.886116,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,4,256,"1,2,3,4",7,337,512,10.5401,48.58,241.37,2512.5956,4.907413,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,4,256,"1,2,3,4",8,337,512,10.5249,48.65,247.18,2580.0595,5.039179,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,4,256,"1,2,3,4",9,337,512,10.5274,48.63,249.49,2603.5825,5.085122,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,4,256,"1,2,3,4",10,337,512,10.551,48.53,248.54,2603.6432,5.085241,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,8,256,"1,2,3,4,5,6,7,8",11,686,1024,10.5992,96.61,260.71,2750.3233,2.685863,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,8,256,"1,2,3,4,5,6,7,8",12,686,1024,10.604,96.57,255.36,2691.8263,2.628737,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,8,256,"1,2,3,4,5,6,7,8",13,686,1024,10.6118,96.5,259.86,2753.7621,2.689221,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,8,256,"1,2,3,4,5,6,7,8",14,686,1024,10.6065,96.54,261.0,2752.0081,2.687508,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,8,256,"1,2,3,4,5,6,7,8",15,686,1024,10.616,96.46,260.27,2747.2295,2.682841,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,1,2048,1,16,89,128,8.5053,15.05,117.18,989.8066,7.732864,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,1,2048,1,17,89,128,8.4676,15.12,117.32,980.1437,7.657372,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,1,2048,1,18,89,128,8.48,15.09,115.44,969.7334,7.576042,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
mistralai/Mistral-7B-v0.1,3752071168,float16,nf4,1,2048,1,19,89,128,8.4782,15.1,115.51,969.6233,7.575182,NVIDIA A100 80GB PCIe,530.30.02,2.5.1+cu121,4.57.6,
