
======================================================================
BENCHMARK REPORT: TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
Precision: gptq
GPU: NVIDIA A100 80GB PCIe
======================================================================
Prompt          Batch    J/tok    tok/s    Watts
----------------------------------------------------------------------
sum_short           1  68.7480      3.4    296.1
sum_short           2  34.3426      6.8    295.8
sum_short           4  17.1936     13.6    295.7
sum_short           8   8.6979     27.2    297.7
sum_short          16   4.3750     54.0    297.4
sum_short          32   2.1975    107.3    297.3
qa_factual          1  68.9812      3.4    297.4
qa_factual          2  34.6490      6.8    298.2
qa_factual          4  17.2089     13.7    296.3
qa_factual          8   8.6147     27.3    296.2
qa_factual         16   4.3691     54.2    298.3
qa_factual         32   2.1821    108.3    297.9
code_simple         1  68.9568      3.4    297.2
code_simple         2  34.7464      6.8    298.6
code_simple         4  17.2276     13.6    296.5
code_simple         8   8.7045     27.2    298.2
code_simple        16   4.3521     54.2    297.0
code_simple        32   2.1817    108.1    297.2
longform            1  68.6472      3.4    296.2
longform            2  34.6327      6.8    297.8
longform            4  17.3107     13.6    297.6
longform            8   8.6191     27.2    296.0
longform           16   4.3412     54.1    296.5
longform           32   2.1969    108.0    298.6
reasoning           1  68.9948      3.4    297.4
reasoning           2  34.3615      6.8    296.0
reasoning           4  17.3669     13.6    298.1
reasoning           8   8.6806     27.1    296.8
reasoning          16   4.3339     54.1    295.6
reasoning          32   2.1949    107.6    297.8
======================================================================
Idle baseline: 61.3 W

